Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-11-30,The Banshees of Inisherin,2022,https://boxd.it/3tYYj3,3,Yes,,2022-11-16
2022-11-30,The Banshees of Inisherin,2022,https://boxd.it/3tYX9h,3,,,2022-11-22
2024-07-09,X,2022,https://boxd.it/6PToRb,3.5,Yes,,2024-07-08
2025-01-20,Wolf Man,2025,https://boxd.it/8xJ9xp,2,,,2025-01-01
2025-01-27,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/8COKGD,5,,,2025-01-01
2025-01-29,Presence,2024,https://boxd.it/8EIwGZ,3.5,Yes,,2025-01-01
2025-01-29,Presence,2024,https://boxd.it/8EIvTj,4,,,2025-01-27
2025-02-06,Companion,2025,https://boxd.it/8KjjE1,3.5,Yes,,2025-02-01
2025-02-11,The Brutalist,2024,https://boxd.it/8NGsDJ,2.5,,,2025-02-01
2025-02-11,I'm Still Here,2024,https://boxd.it/8NGucb,4,,,2025-02-01
